"cell","x","y","built_pct","light_mcd_m2","pm25_ug_m3","utci_strong_h","hw_days","crop_frac","bii","landchange_freq","pop_dens_km2","gdp_pc_2022","utci_valid_h"
139,5311797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,5341797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,5371797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,5401797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,5431797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,5461797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,5491797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,5521797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,5551797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,5581797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,5611797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,5641797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,5671797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,5701797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,5731797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,5761797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,5791797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,5821797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,5851797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,5881797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,5911797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,5941797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,5971797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,6001797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,6031797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,6061797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,6091797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,6121797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,6151797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
